"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"42","8","5616","","20104","0","","254",""
"42","7","5617","","20104","0","","254",""
"42","6","5618","","20104","0","","254",""
"42","5","5619","","20104","0","","254",""
"101","3","562","","22102","0","","97",""
"42","9","5620","","20104","0","","254",""
"42","10","5621","","20104","0","","254",""
"42","4","5622","","20105","0","","254",""
"42","3","5623","","20105","0","","254",""
"42","2","5624","","20105","0","","254",""
"42","1","5625","","20105","0","","254",""
"89","70","5626","","2114","1","","229",""
"89","17","5627","","2114","1","","229",""
"89","4","5628","","2130","1","","229",""
"89","3","5629","","2130","1","","229",""
"57","10","563","","52704","0","","4",""
"89","2","5630","","2130","1","","229",""
"89","1","5631","","2130","1","","229",""
"89","8","5632","","2130","1","","229",""
"89","7","5633","","2130","1","","229",""
"89","4","5634","","2022","1","","270",""
"89","3","5635","","2022","1","","270",""
"89","2","5636","","2022","1","","270",""
"105","7","5637","","50105","0","","300",""
"105","6","5638","","50105","0","","300",""
"105","5","5639","","50105","0","","300",""
"20","4","564","","32804","1","","686",""
"105","9","5640","","50105","0","","300",""
"105","10","5641","","50105","0","","300",""
"105","4","5642","","50106","0","","300",""
"105","3","5643","","50106","0","","300",""
"105","2","5644","","50106","0","","300",""
"105","1","5645","","50106","0","","300",""
"105","8","5646","","50106","0","","300",""
"75","6","5647","","30709","0","","200",""
"51","6","5648","","35210","1","","163",""
"51","5","5649","","35210","1","","163",""
"20","6","565","","32804","1","","686",""
"51","9","5650","","35210","1","","163",""
"51","10","5651","","35210","1","","163",""
"51","4","5652","","35211","1","","267",""
"51","3","5653","","35211","1","","267",""
"28","15","5654","","42101","0","","348",""
"28","3","5655","","42101","0","","348",""
"28","2","5656","","42101","0","","348",""
"28","13","5657","","42101","0","","348",""
"28","12","5658","","42101","0","","348",""
"28","11","5659","","42101","0","","348",""
"20","5","566","","32804","1","","686",""
"28","20","5660","","42101","0","","348",""
"28","19","5661","","42101","0","","348",""
"28","30","5662","","42101","0","","348",""
"24","86","5663","","36503","0","","132",""
"24","86","5664","","36504","0","","132",""
"24","86","5665","","36502","0","","132",""
"89","9","5666","","2141","0","","410",""
"89","5","5667","","2141","0","","410",""
"89","7","5668","","2141","0","","410",""
